Année;Code région académique;Code région Insee;Libellé région académique;Discipline;IPS moyen;Caractéristiques;Score moyen;Ecart type;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;Groupe 6
2024;04;24;CENTRE-VAL DE LOIRE;Français;103.5;Garçon;250;46.4;13.4;17.8;22.1;19.7;13.0;14.1
2024;05;94;CORSE;Mathématiques;101.3;Fille;249;45.7;13.9;18.2;22.3;17.7;13.5;14.4
2024;06;44;GRAND EST;Français;101.3;Ensemble;255;47.1;11.5;15.9;21.2;20.5;15.1;15.8
2024;07;01;GUADELOUPE;Mathématiques;96.9;Fille;227;47.6;32.7;21.7;18.0;12.5;7.6;7.5
2024;08;03;GUYANE;Mathématiques;81.7;Ensemble;198;42.8;60.4;19.0;9.8;5.0;2.8;3.1
2024;11;04;LA REUNION;Français;89.0;Fille;249;47.0;14.4;19.7;21.1;18.1;12.5;14.2
2024;12;02;MARTINIQUE;Français;100.5;Ensemble;244;50.4;20.1;16.7;19.6;18.0;11.9;13.6
2024;13;06;MAYOTTE;Français;69.8;Ensemble;185;41.7;71.0;14.2;8.1;3.8;1.7;1.2
2024;13;06;MAYOTTE;Mathématiques;69.8;Ensemble;182;38.1;75.3;15.2;5.3;2.4;1.0;0.8
2024;14;28;NORMANDIE;Français;103.3;Garçon;245;45.8;16.3;18.3;22.4;19.2;12.2;11.7
2024;15;75;NOUVELLE-AQUITAINE;Français;108.2;Fille;265;49.0;8.0;12.8;18.9;21.2;17.3;21.9
2024;16;76;OCCITANIE;Français;107.3;Ensemble;258;48.5;10.3;14.8;20.4;20.5;15.4;18.5
2024;16;76;OCCITANIE;Mathématiques;107.3;Garçon;263;55.1;11.9;14.4;17.4;17.6;14.6;24.0
2024;17;52;PAYS DE LA LOIRE;Mathématiques;109.1;Ensemble;258;52.1;12.4;16.2;19.2;17.7;14.3;20.3
2024;18;93;PROVENCE-ALPES-COTE D'AZUR;Français;105.4;Fille;263;48.0;8.0;13.6;20.3;21.1;16.7;20.2
2024;18;93;PROVENCE-ALPES-COTE D'AZUR;Français;105.4;Garçon;252;47.3;13.2;16.4;21.0;20.1;14.3;15.0
2024;;;NATIONAL;Français;;Fille;262;49.4;9.1;13.8;19.6;20.7;16.3;20.5
2024;;;NATIONAL;Mathématiques;;Ensemble;254;53.3;15.0;17.2;18.8;16.9;13.0;19.0
2025;01;84;AUVERGNE-RHONE-ALPES;Français;109.2;Ensemble;260;49.6;10.4;14.0;19.7;19.8;15.8;20.3
2025;01;84;AUVERGNE-RHONE-ALPES;Français;109.2;Garçon;255;49.3;13.0;15.4;20.6;19.2;14.4;17.4
2025;01;84;AUVERGNE-RHONE-ALPES;Mathématiques;109.2;Fille;253;50.3;13.5;17.8;19.9;17.9;13.5;17.4
2025;02;27;BOURGOGNE-FRANCHE-COMTE;Français;102.7;Ensemble;255;46.6;10.8;15.5;21.3;21.1;15.3;16.0
2025;03;53;BRETAGNE;Français;110.6;Garçon;256;47.9;11.5;14.9;20.6;20.2;15.3;17.4
2025;03;53;BRETAGNE;Mathématiques;110.6;Garçon;266;53.8;10.0;13.5;17.4;18.2;15.6;25.3
